RANK,RESIDENCY,STATUS
1,طب وجراحة العيون,بوست
2,طب وجراحة العيون,بوست
3,لم يحضر,لم يحضر
4,قلب وأوعية دموية,بوست
5,قلب وأوعية دموية,بوست
6,أشعة تشخيصية,بوست
7,قلب وأوعية دموية,بوست
8,نسا وتوليد,بوست
9,باطنة روماتيزم,بوست
10,باطنة كلى,بوست
11,فسيولوجي,بوست
12,نسا وتوليد,بوست
13,جراحة مخ وأعصاب,بوست
14,جراحة مخ وأعصاب,بوست
15,نسا وتوليد,بوست
16,باطنة,بوست
17,جلدية,بوست
18,جراحة مسالك,بوست
19,أطفال,بوست
20,جراحة عظام,بوست
21,جراحة عظام,بوست
22,باطنة (معهد بحوث),بوست
23,نسا وتوليد,بوست
24,باطنة كبد,بوست
25,باطنة جهاز هضمي,بوست
26,باثولوجي,بوست
27,أنف وأذن وحنجرة,بوست
28,أطفال,بوست
29,أشعة,بوست
30,أشعة,بوست
31,جراحة أورام,بوست
32,جراحة عظام,بوست
33,جراحة أوعية,بوست
34,باطنة سكر,بوست
35,أطفال,بوست
36,أنف وأذن وحنجرة,بوست
37,نفسية وعصبية,بوست
38,باطنة دم,بوست
39,طب المناطق الحارة,بوست
40,جراحة مسالك,بوست
41,أطفال,بوست
42,ويتنج,ويتنج
43,نفسية وعصبية,بوست
44,طب وجراحة العيون,بدون بوست
45,جراحة قلب وصدر,بوست
46,أشعة,بوست
47,أطفال,بوست
48,أطفال,بوست
49,جراحة شرج وقولون,بوست
50,طب المناطق الحارة,بوست
51,باثولوجي,بوست
52,باطنة دم (معهد بحوث),بوست
53,أطفال,بوست
54,جراحة (معهد بحوث),لم يحضر
55,لم يحضر,لم يحضر
56,جراحة رأس وعنق,بوست
57,طب وجراحة العيون,بدون بوست
58,أطفال,بوست
59,الطب الحرج,بوست
60,طب المناطق الحارة,بوست
61,طب وجراحة العيون,بدون بوست
62,جراحة قلب وصدر,بدون بوست
63,جراحة مسالك,بدون بوست
64,باثولوجي,بوست
65,باطنة مسنين,بوست
66,الطب الحرج,بوست
67,جراحة (معهد بحوث),بدون بوست
68,طب وجراحة العيون,بدون بوست
69,أطفال,بوست
70,صدرية,بوست
71,جراحة مخ وأعصاب,بدون بوست
72,طب وجراحة العيون (برج العرب),بدون بوست
73,علاج الأورام والطب النووي,بوست
74,جراحة مسالك,بدون بوست
75,فارما,بوست
76,لم يحضر,لم يحضر
77,أطفال,بوست
78,جراحة عظام,بدون بوست
79,جلدية,بدون بوست
80,جراحة (معهد بحوث),بدون بوست
81,صدرية,بوست
82,أطفال,بوست
83,نفسية وعصبية,بوست
84,أطفال,بوست
85,فسيولوجي,بوست
86,اناتومي,بوست
87,جراحة (معهد بحوث),بدون بوست
88,علاج الأورام والطب النووي,بوست
