ID,FIRST YEAR RANK,SECOND YEAR RANK C,THIRD YEAR RANK C,FOURTH YEAR RANK C
4,393,434,430,470
6,384,540,584,558
9,24,40,35,20
13,953,981,954,818
15,584,455,462,425
31,245,184,170,154
32,370,370,315,392
34,846,748,751,752
35,750,690,626,536
37,8,27,41,61
38,880,858,828,741
39,107,108,105,267
40,312,516,529,
41,477,437,387,320
42,491,598,592,570
46,844,770,757,688
50,413,450,484,590
51,831,874,850,749
52,631,784,785,
53,910,925,,
54,347,283,276,219
55,79,57,114,193
58,807,688,646,513
59,102,144,174,256
60,857,846,813,764
67,268,239,243,235
68,696,669,616,
72,337,289,233,375
74,238,210,205,157
75,385,313,271,192
76,367,285,279,271
77,712,647,569,481
78,458,526,567,460
79,699,712,723,729
80,144,150,124,122
81,335,355,383,383
82,980,978,952,
83,551,508,476,455
85,430,338,367,453
89,529,400,363,186
90,926,952,,
91,104,79,68,38
93,635,652,,
95,697,686,681,548
97,981,936,,
100,525,460,414,262
101,348,451,467,372
107,155,185,176,176
109,432,375,353,253
110,899,933,900,
112,305,306,229,224
115,758,743,765,782
117,280,252,240,287
118,49,73,87,99
119,,,,
120,245,198,186,95
122,47,37,36,16
124,130,171,161,
130,122,131,187,294
132,107,80,64,59
133,704,777,727,571
135,,,,
136,815,642,698,
140,149,95,70,50
141,65,56,61,40
142,728,878,899,
143,739,737,724,718
144,947,971,,
146,686,599,578,567
148,592,627,625,552
151,602,620,590,494
152,429,402,422,387
155,931,870,863,
156,68,60,46,73
157,919,917,,
160,,,,
162,810,856,812,726
163,151,124,126,188
164,,,,
166,751,831,763,
167,784,872,862,
168,327,410,437,640
171,227,123,107,77
174,286,256,306,304
175,665,734,773,
176,767,754,713,584
178,983,991,951,815
182,664,667,644,615
183,360,418,434,465
184,309,275,280,
185,151,101,72,43
186,557,684,684,755
187,789,897,877,803
189,266,217,249,355
191,590,765,749,697
192,74,51,39,119
196,71,64,84,112
198,,,,
200,270,249,226,238
201,376,346,327,250
205,735,697,680,657
208,81,66,78,198
210,351,309,305,244
211,839,847,822,
212,589,693,717,
215,694,633,639,685
216,,,,
217,854,851,827,733
219,700,714,734,711
220,782,832,789,727
221,518,557,583,617
223,570,576,630,
225,459,643,732,773
227,143,127,128,206
228,66,84,122,139
229,175,397,533,
231,820,758,750,707
232,726,634,678,
233,580,503,442,379
234,255,239,246,215
235,688,556,499,490
236,559,678,702,772
237,401,374,386,419
238,441,412,400,427
239,,,,
240,494,516,543,644
241,452,429,389,314
243,222,205,191,152
244,454,325,292,166
246,496,459,433,418
248,400,294,223,137
255,568,555,609,599
260,866,755,725,669
264,593,488,439,300
265,483,523,487,546
266,743,876,890,
268,830,774,740,689
270,475,449,432,380
271,689,810,809,753
274,771,840,829,
275,423,390,391,400
277,512,549,553,466
279,426,499,522,478
280,,,,
288,307,259,217,179
301,939,877,845,
305,365,291,278,345
307,859,808,794,736
308,625,593,526,397
309,519,473,450,498
310,394,267,199,98
314,840,919,893,
316,770,864,831,769
317,117,108,120,148
319,78,58,53,39
321,990,993,960,
323,892,893,867,809
324,349,475,471,
327,566,486,491,459
328,251,202,255,247
329,828,809,811,762
330,667,710,689,618
331,885,889,,
332,241,208,264,234
333,588,581,554,511
334,731,680,705,
340,159,92,66,88
351,422,414,366,237
357,179,160,123,146
358,540,427,412,
361,60,40,43,71
362,883,882,826,696
365,281,305,297,177
369,132,297,291,493
370,959,954,932,808
371,937,984,944,814
372,860,852,825,740
374,870,822,800,781
375,,,,
376,89,68,50,41
377,812,752,673,623
378,409,362,338,319
379,115,135,132,205
380,686,687,672,573
384,631,563,601,589
387,301,227,259,594
389,651,635,651,638
391,812,835,856,
392,91,91,93,89
393,967,969,938,
394,466,446,403,297
396,,,,
399,973,982,955,
400,290,262,329,309
403,322,260,273,184
415,642,572,557,404
416,282,363,379,368
423,690,594,558,506
424,189,330,342,391
425,196,225,230,277
426,294,369,378,532
428,582,596,623,602
429,206,242,234,240
430,229,214,214,230
431,549,550,512,461
432,236,221,200,212
433,356,250,203,204
434,36,76,69,202
435,532,378,372,413
436,808,785,781,793
437,705,662,605,603
438,292,453,446,
439,399,433,470,483
448,183,416,463,491
450,703,640,634,737
459,707,591,597,
460,20,20,17,27
475,42,38,38,70
476,558,503,537,556
477,824,821,801,
479,719,802,772,746
481,840,842,847,797
483,427,350,341,336
484,649,588,503,421
485,303,291,266,178
486,353,368,328,337
493,379,676,643,
494,457,397,405,448
496,640,654,658,547
501,909,879,865,
502,125,148,155,143
503,655,700,743,
504,714,811,783,775
506,302,243,267,299
507,940,934,910,
508,656,685,663,647
509,421,360,361,329
513,512,495,459,388
515,794,853,821,761
519,620,618,602,613
522,16,26,19,11
523,733,759,726,710
524,2,13,44,
526,905,906,889,805
527,28,31,25,29
528,480,541,582,625
529,842,800,804,672
530,224,207,197,218
531,957,948,921,
532,255,294,283,373
533,404,481,460,501
535,873,855,832,784
536,163,224,261,381
538,244,218,232,310
540,919,950,934,
541,,,,
544,438,409,333,236
545,168,126,121,183
546,76,97,103,62
547,,,,
548,423,589,595,454
549,821,839,844,
550,346,376,392,405
551,674,755,770,771
552,796,828,798,763
553,178,167,157,158
563,730,706,696,675
564,817,903,903,
567,768,577,497,333
572,122,96,82,69
573,315,359,355,248
595,351,373,345,386
596,692,807,786,658
603,14,16,27,55
605,760,771,745,663
606,33,14,7,7
607,,,,
608,278,258,220,252
609,376,353,,
610,153,173,158,153
613,985,985,958,
614,964,976,953,
615,63,36,31,23
616,250,301,260,289
629,875,850,805,734
633,,,,
637,362,282,244,160
648,903,887,837,698
649,774,696,633,595
660,537,552,517,512
662,596,608,591,620
665,542,471,455,384
666,823,865,854,
667,356,337,304,280
677,334,463,494,607
681,527,725,793,
686,682,551,515,475
687,742,762,,
688,781,823,799,
689,571,529,560,695
691,448,253,207,150
692,298,266,258,281
693,914,901,,
701,188,191,204,243
703,882,894,849,756
704,738,757,780,724
715,969,977,936,
716,84,90,60,33
719,57,47,51,117
